"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"19.523.089,16";"71.046.985,85";"56.323.873,57";"4.020.374,09";
"02/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"6.981.490,85";"54.252.937,34";"53.511.050,61";"5.823.536,45";
"04/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"26.602.423,46";"54.855.170,37";"56.420.230,44";"7.697.625,96";
"03/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"10.351.711,96";"56.642.688,67";"54.877.898,73";"6.136.358,84";
"05/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"313.143.049,41";"56.480.183,02";"55.419.763,54";"5.207.185,23";
"01/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"233.488.382,36";"53.497.307,04";"16.025.437,37";"56.695.756,00";
"07/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"21.803.114,74";"59.665.431,28";"70.706.450,49";"2.396.646,62";
"01/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"50.687.212,53";"49.839.238,53";"15.287.763,70";"42.221.282,66";
"02/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"50.354.713,17";"48.318.714,77";"48.157.059,95";"1.205.302,19";
"04/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"53.442.519,37";"51.859.041,15";"47.073.581,67";"588.359,96";
"07/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"48.008.667,74";"48.740.897,04";"63.005.841,06";"430.898,74";
"06/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"62.842.938,67";"62.625.396,17";"48.319.560,71";"285.123,83";
"08/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"48.508.736,27";"2.167.580,95";"34.669.398,47";"187.182,39";
"05/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"47.399.574,73";"48.491.783,40";"51.754.328,79";"1.678.861,83";
"03/2019";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"44.980.319,87";"45.954.956,19";"48.446.363,14";"1.778.890,97";
"04/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"7.192.309,31";"23.049.580,36";"22.148.182,34";"3.287.688,32";
"06/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"5.171.193,70";"31.141.534,73";"23.514.201,91";"3.374.420,64";
"01/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"267.315.013,02";"21.807.412,43";"6.955.482,97";"22.031.727,79";
"08/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"3.329.455,97";"24.444.679,31";"17.478.480,30";"1.619.640,38";
"03/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"8.119.647,86";"21.821.935,66";"21.326.658,04";"4.389.526,62";
"05/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"5.620.457,99";"23.346.118,52";"23.239.482,05";"4.526.032,46";
"07/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"3.390.904,19";"24.661.328,71";"30.997.122,14";"2.811.046,13";
"02/2019";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"1.214.371,38";"21.160.213,64";"21.718.376,13";"2.197.192,58";
"05/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"63.781.064,33";"125.468.650,24";"121.348.408,15";"4.284.253,62";
"07/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"18.169.828,73";"124.578.607,61";"153.238.632,28";"1.450.000,75";
"02/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"24.386.694,25";"114.246.392,42";"117.087.170,59";"12.735.859,76";
"08/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"32.973.774,07";"117.347.204,29";"90.902.346,58";"6.493.792,33";
"03/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"21.884.581,71";"116.532.921,12";"114.152.057,37";"7.613.110,04";
"06/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"12.572.226,59";"149.261.360,56";"124.291.535,14";"2.620.160,15";
"01/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"1.237.177.557,78";"116.796.300,22";"42.036.113,24";"94.230.565,79";
"04/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"32.503.337,64";"120.496.183,04";"117.627.988,82";"3.110.102,59";
"07/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"26.594.800,41";"22.469.377,24";"27.428.341,93";"974.253,16";
"06/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"27.622.016,10";"27.462.510,57";"21.981.216,65";"3.896.956,55";
"02/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"20.639.535,53";"19.810.256,87";"19.883.302,23";"3.822.948,84";
"05/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"28.531.739,31";"22.678.592,89";"22.354.718,17";"7.413.949,23";
"03/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"22.822.379,71";"19.692.253,98";"19.966.715,08";"7.242.784,57";
"08/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"32.526.664,24";"25.414.410,64";"16.458.669,55";"3.351.062,91";
"04/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"22.767.672,27";"21.527.657,21";"20.123.879,00";"4.714.449,92";
"01/2019";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"22.009.256,12";"19.912.103,99";"6.641.206,70";"15.937.591,50";
"01/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"286.576.962,89";"24.974.852,31";"7.257.147,23";"24.559.023,89";
"04/2019";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"9.841.169,91";"25.668.170,74";"25.726.714,59";"1.456.729,72";
